1. Community | Cá nhân | Gia đình | Xã hội | Cộng đồng
2. Volunteer | Bác sĩ | Giáo viên | Kỹ sư | Tình nguyện viên
3. Environment | Thời tiết | Khí hậu | Địa lý | Môi trường
4. Pollution | Thời tiết | Khí hậu | Thiên nhiên | Sự ô nhiễm
5. Sustainable | Lâu dài | Tạm thời | Không thể | Bền vững
6. Recycle | Vứt bỏ | Sử dụng | Mua sắm | Tái chế
7. Carbon | Oxy | Hydro | Nitơ | Các-bon
8. Energy | Không gian | Thời gian | Cấu trúc | Năng lượng
9. Habit | Sự thay đổi | Sự khác biệt | Sự mới lạ | Thói quen
10. Lifestyle | Sở thích | Công việc | Hoạt động | Lối sống
11. Benefit | Rủi ro | Thiệt hại | Khó khăn | Lợi ích
12. Stress | Thoải mái | Thư giãn | Hạnh phúc | Căng thẳng
13. Pressure | Thư giãn | Thoải mái | Tự do | Áp lực
14. Balance | Thay đổi | Di chuyển | Rơi ngã | Sự cân bằng
15. Advice | Lời khen | Sự đồng ý | Sự cảm ơn | Lời khuyên
16. Symptom | Thuốc | Bác sĩ | Y tá | Triệu chứng
17. Healthy | Ốm yếu | Mệt mỏi | Lười biếng | Khỏe mạnh
18. Obesity | Gầy yếu | Khỏe mạnh | Sáng tạo | Béo phì
19. Fitness | Mệt mỏi | Lười biếng | Nhút nhát | Sự cân đối (sức khỏe)
20. Culture | Lịch sử | Địa lý | Chính trị | Văn hóa
21. Tradition | Lịch sử | Địa lý | Mỹ thuật | Truyền thống
22. Festival | Môn học | Hoạt động | Đồ ăn | Lễ hội
23. Custom | Hiện đại | Mới lạ | Lạ lẫm | Phong tục
24. Heritage | Lễ hội | Kiến trúc | Đồ ăn | Di sản
25. Ceremony | Bữa tiệc | Trò chơi | Âm nhạc | Nghi lễ
26. Performance | Thảo luận | Kiểm tra | Bài tập | Màn trình diễn
27. Competition | Hợp tác | Giúp đỡ | Đoàn kết | Sự cạnh tranh
28. Achievement | Thất bại | Nỗ lực | Ý định | Thành tựu
29. Potential | Thành tựu | Thử thách | Cơ hội | Tiềm năng
30. Motivation | Thử thách | Cơ hội | Ý tưởng | Động lực
31. Creativity | Sự so sánh | Sự phân tích | Mục đích | Sự sáng tạo
32. Discipline | Trách nhiệm | Động lực | Sự sáng tạo | Tính kỷ luật
33. Resilience | Sự chính trực | Sự đồng cảm | Sự sáng tạo | Sự kiên cường
34. Perspective | Sự kiên cường | Sự chính trực | Sự đồng cảm | Quan điểm
35. Interaction | Sự tách rời | Sự ngăn cách | Sự im lặng | Sự tương tác
36. Cooperation | Sự cạnh tranh | Sự tranh cãi | Sự đối lập | Sự hợp tác
37. Independence | Phụ thuộc | Nhút nhát | Lười biếng | Sự độc lập
38. Responsibility | Quyền lợi | Nghĩa vụ | Sở thích | Trách nhiệm
39. Discussion | Thuyết trình | Kiểm tra | Bài tập | Sự thảo luận
40. Presentation | Thảo luận | Bài tập | Kiểm tra | Bài thuyết trình
41. Assignment | Bài kiểm tra | Bài thi | Câu hỏi | Bài tập được giao
42. Technology | Môn học | Máy móc | Thiết bị | Công nghệ
43. Innovation | Phát minh | Khám phá | Nghiên cứu | Sự đổi mới
44. Communication | Hoạt động | Môn học | Thời gian | Sự giao tiếp
45. Connection | Sự tách rời | Sự ngăn cách | Sự phân loại | Sự kết nối
46. Application | Hệ thống | Thiết bị | Lý thuyết | Ứng dụng
47. Digital | Cơ học | Thủ công | Truyền thống | Kỹ thuật số
48. Virtual | Thực tế | Đời thường | Lịch sử | Ảo
49. Global | Địa phương | Cá nhân | Cộng đồng | Toàn cầu
50. Network | Hệ thống | Cấu trúc | Thiết bị | Mạng lưới
51. Science | Toán | Văn | Nhạc | Khoa học
52. Biology | Vật lý | Toán | Ngữ văn | Sinh học
53. Chemistry | Địa lý | Tin học | Lịch sử | Hóa học
54. Physics | Âm nhạc | Mỹ thuật | Thể dục | Vật lý
55. Geography | Toán | Văn | Sinh học | Địa lý
56. History | Toán | Văn | Nhạc | Lịch sử
57. Literature | Toán | Nhạc | Vật lý | Ngữ văn
58. Informatics | Toán | Văn | Nhạc | Tin học
59. Experiment | Bài tập | Dự án | Lý thuyết | Thí nghiệm
60. Research | Bài tập | Dự án | Thí nghiệm | Nghiên cứu
61. Discovery | Phát minh | Nghiên cứu | Sáng tạo | Khám phá
62. Invention | Khám phá | Nghiên cứu | Thí nghiệm | Phát minh
63. Analysis | So sánh | Kết luận | Bằng chứng | Sự phân tích
64. Conclusion | Bắt đầu | Dự án | Suy luận | Kết luận
65. Evidence | Suy luận | Dự án | Kế hoạch | Bằng chứng
66. Strategy | Kế hoạch | Dự án | Ý tưởng | Chiến lược
67. Method | Hệ thống | Thử thách | Vấn đề | Phương pháp
68. System | Quá trình | Thử thách | Vấn đề | Hệ thống
69. Process | Kết quả | Thử thách | Vấn đề | Quá trình
70. Structure | Thiết kế | Xây dựng | Mỹ thuật | Cấu trúc
71. Architecture | Xây dựng | Thiết kế | Mỹ thuật | Kiến trúc
72. Environment | Thời tiết | Địa lý | Sinh vật | Môi trường
73. Climate | Thời tiết | Môi trường | Địa lý | Khí hậu
74. Species | Môi trường | Con người | Đồ vật | Loài
75. Habitat | Khí hậu | Môi trường | Địa điểm | Môi trường sống
