1. 脆弱 (ぜいじゃく) | Phức tạp | Đơn giản | Mong manh/Yếu đuối | Kiên cố
懸念 (けねん) | Tin tưởng | Bình thản | Lo ngại | Hy vọng
享受 (きょうじゅ) | Chịu đựng | Hy sinh | Hưởng thụ | Từ bỏ
疎外 (そがい) | Thân thiết | Hòa hợp | Xa lánh/Cô lập | Gắn kết
屈折 (くっせつ) | Trơn tru | Bằng phẳng | Gãy khúc/Lệch lạc | Thẳng băng
執拗 (しつよう) | Thỏa hiệp | Mau chán | Dai dẳng | Dễ bỏ cuộc
卓越 (たくえつ) | Kém cỏi | Vụng về | Ưu việt/Xuất sắc | Tầm thường
充当 (じゅうとう) | Phung phí | Cắt giảm | Phân bổ/Chuyên dùng | Bỏ trống
孤立 (こりつ) | Hợp tác | Kết nối | Cô lập | Đoàn kết
緊迫 (きんぱく) | Bình yên | Thoải mái | Căng thẳng | Thư giãn
獲得 (かくとく) | Từ bỏ | Phá hủy | Giành được | Mất đi
推進 (すいしん) | Dừng lại | Bỏ dở | Thúc đẩy | Cản trở
提携 (ていけい) | Tách biệt | Phá hủy | Hợp tác/Liên kết | Đối đầu
紛糾 (ふんきゅう) | Hòa bình | Ổn định | Rối ren/Tranh cãi | Trật tự
究明 (きゅうめい) | Phớt lờ | Bỏ qua | Làm sáng tỏ | Giấu kín
是正 (ぜせい) | Phớt lờ | Nhầm lẫn | Chỉnh đốn | Làm sai
転換 (てんかん) | Sai lệch | Mơ hồ | Chuyển đổi | Giữ nguyên
提唱 (ていしょう) | Phớt lờ | Sai lệch | Đề xướng | Phản đối
遵守 (じゅんしゅ) | Phớt lờ | Nhầm lẫn | Tuân thủ | Vi phạm
疎通 (そつう) | Hiểu lầm | Mâu thuẫn | Thông suốt/Giao tiếp | Tắc nghẽn
巧妙 (こうみょう) | Thô kệch | Kém cỏi | Khéo léo | Vụng về
潜在 (せんざい) | Công khai | Bên ngoài | Tiềm ẩn | Lộ rõ
寛容 (かんよう) | Hẹp hòi | Nghiêm khắc | Khoan dung | Khắt khe
簡潔 (かんけつ) | Vòng vo | Rườm rà | Súc tích | Dài dòng
厳重 (げんじゅう) | Sơ hở | Dễ dàng | Nghiêm ngặt | Lỏng lẻo
壮大 (そうだい) | Còi cọc | Đơn điệu | Hùng vĩ | Nhỏ bé
緊密 (きんみつ) | Xa cách | Lỏng lẻo | Chặt chẽ | Rời rạc
必須 (ひっす) | Tùy ý | Vô ích | Cần thiết/Bắt buộc | Không cần
端的 (たんてき) | Mơ hồ | Dài dòng | Trực diện/Rõ ràng | Vòng vo
