1. 私 (わたし) | Anh ấy | Cô ấy | Tôi | Bạn
あなた (あなた) | Chúng ta | Họ | Bạn | Tôi
人 (ひと) | Cây cối | Đồ vật | Người | Con vật
先生 (せんせい) | Kỹ sư | Bác sĩ | Giáo viên | Học sinh
学生 (がくせい) | Công nhân | Cảnh sát | Học sinh | Giáo viên
会社員 (かいしゃいん) | Bảo vệ | Giám đốc | Nhân viên công ty | Thư ký
銀行員 (ぎんこういん) | Ca sĩ | Luật sư | Nhân viên ngân hàng | Bác sĩ
医者 (いしゃ) | Bệnh nhân | Y tá | Bác sĩ | Dược sĩ
大学 (だいがく) | Trung học | Tiểu học | Đại học | Mẫu giáo
病院 (びょういん) | Nhà ga | Khách sạn | Bệnh viện | Nhà hàng
本 (ほん) | Bút | Thước kẻ | Sách | Vở
辞書 (じしょ) | Tạp chí | Báo | Từ điển | Bản đồ
雑誌 (ざっし) | Truyện tranh | Tài liệu | Tạp chí | Sách
新聞 (しんぶん) | Danh thiếp | Thư | Báo | Bưu thiếp
ノート (のーと) | Phấn | Bút chì | Vở | Tẩy
手帳 (てちょう) | Giấy | Lịch | Sổ tay | Ví
名刺 (めいし) | Vé máy bay | Hộ chiếu | Danh thiếp | Thẻ căn cước
鉛筆 (えんぴつ) | Bút bi | Bút màu | Bút chì | Bút máy
鍵 (かぎ) | Ổ khóa | Cửa | Chìa khóa | Cửa sổ
時計 (とけい) | Điện thoại | Máy tính | Đồng hồ | Tivi
傘 (かさ) | Giày | Áo mưa | Ô (dù) | Mũ
鞄 (かばん) | Giày dép | Quần áo | Túi xách | Ví
車 (くるま) | Xe đạp | Xe máy | Ô tô | Máy bay
机 (つくえ) | Tủ | Ghế | Bàn | Giường
椅子 (いす) | Bàn | Cửa | Ghế | Rèm
教室 (きょうしつ) | Nhà ăn | Thư viện | Lớp học | Sân vận động
食堂 (しょくどう) | Phòng khách | Phòng ngủ | Nhà ăn | Nhà kho
事務所 (じむしょ) | Nhà xưởng | Chợ | Văn phòng | Cửa hàng
会議室 (かいぎしつ) | Nhà vệ sinh | Sảnh | Phòng họp | Phòng chờ
受付 (うけつけ) | Lối ra | Cổng | Quầy lễ tân | Cầu thang
部屋 (へや) | Thành phố | Ngôi nhà | Căn phòng | Tòa nhà
階段 (かいだん) | Thang máy | Hành lang | Cầu thang | Đường đi
郵便局 (ゆうびんきょく) | Công viên | Nhà ga | Bưu điện | Ngân hàng
図書館 (としょかん) | Bảo tàng | Nhà hát | Thư viện | Rạp phim
美術館 (びじゅつかん) | Cảng | Nhà thờ | Bảo tàng mỹ thuật | Sân bay
今 (いま) | Sau này | Luôn luôn | Bây giờ | Trước đây
時 (じ) | Ngày | Phút | Giờ | Giây
分 (ふん/ぷん) | Tuần | Tháng | Phút | Giờ
半 (はん) | Gấp đôi | Một phần tư | Một nửa (rưỡi) | Cả bộ
朝 (あさ) | Ban đêm | Buổi tối | Buổi sáng | Buổi trưa
昼 (ひる) | Buổi sáng | Buổi chiều | Buổi trưa | Buổi tối
晩 (ばん) | Buổi sáng | Ban ngày | Buổi tối | Buổi chiều
昨日 (きのう) | Ngày mai | Hôm nay | Hôm qua | Ngày kia
今日 (きょう) | Hôm qua | Tuần sau | Hôm nay | Ngày mai
明日 (あした) | Hôm nay | Hôm qua | Ngày mai | Tháng trước
毎朝 (まいあさ) | Mỗi tuần | Mỗi năm | Mỗi sáng | Mỗi tối
毎日 (まいにち) | Mỗi giờ | Mỗi tháng | Mỗi ngày | Mỗi phút
行きます (いきます) | Đến | Về | Đi | Ở lại
来ます (きます) | Chạy | Nhảy | Đến | Đi
帰ります (かえります) | Đi | Đứng | Về | Đến
食べます (たべます) | Nghĩ | Ngủ | Ăn | Uống
飲みます (のみます) | Ăn | Hát | Uống | Nói
吸います (すいます) | Thổi | Ngửi | Hút | Nếm
見ます (みます) | Viết | Nghe | Nhìn | Nói
聞きます (ききます) | Chạy | Nhìn | Nghe | Đọc
読みます (よみます) | Viết | Vẽ | Đọc | Xóa
書きます (かきます) | Đọc | Nghe | Viết | Nhìn
買います (かいまず) | Bán | Nhận | Mua | Cho
撮ります (とります) | Vẽ | Cắt | Chụp (ảnh) | Dán
会います (あいます) | Nhớ | Quên | Gặp gỡ | Chia tay
切ります (きります) | Mở | Gấp | Cắt | Dán
送ります (おくります) | Vứt | Giữ | Gửi | Nhận
あげます (あげます) | Trả | Lấy | Cho/Tặng | Mượn
もらいます (もらいます) | Cho | Tìm | Nhận | Mất
貸します (かします) | Bán | Mượn | Cho mượn | Mua
借ります (かりる) | Cho mượn | Thuê | Mượn | Trả
教えます (おしえます) | Quên | Giấu | Dạy/Chỉ bảo | Học
習います (ならいます) | Dạy | Nghỉ | Học tập | Chơi
手 (て) | Đầu | Chân | Tay | Lưng
お金 (おかね) | Kim cương | Bạc | Tiền | Vàng
荷物 (にもつ) | Đồ ăn | Quà tặng | Hành lý | Thư
切手 (きって) | Giấy viết thư | Bưu thiếp | Tem | Phong bì
父 (ちち) | Anh | Mẹ | Bố (mình) | Chị
母 (はは) | Em | Bà | Mẹ (mình) | Bố
家族 (かぞく) | Đồng nghiệp | Bạn bè | Gia đình | Người lạ
大きい (おおきい) | Nhỏ | Lạnh | Lớn | Nóng
小さい (ちいさい) | Lớn | Cao | Nhỏ | Thấp
新しい (あたらしい) | Đẹp | Cũ | Mới | Xấu
古い (ふるい) | Bẩn | Sạch | Cũ | Mới
暑い (あつい) | Ấm | Mát | Nóng | Lạnh
寒い (さむい) | Ướt | Khô | Lạnh | Nóng
高い (たかい) | Rẻ/Thấp | Dài | Đắt/Cao | Ngắn
安い (やすい) | Tốt | Đắt | Rẻ | Xấu
低い (ひくい) | Cao | Rộng | Thấp | Dài
面白い (おもしろい) | Khó | Buồn chán | Thú vị | Đáng sợ
美味しい (おいしい) | Ngọt | Dở | Ngon | Cay
忙しい (いそがしい) | Buồn bã | Vui vẻ | Bận rộn | Rảnh rỗi
楽しい (たのしい) | Khó chịu | Lo lắng | Vui vẻ | Mệt mỏi
白い (しろい) | Đỏ | Xanh | Trắng | Đen
黒い (くろい) | Vàng | Tím | Đen | Trắng
赤い (あかい) | Xanh | Trắng | Đỏ | Vàng
青い (あおい) | Đen | Cam | Xanh da trời | Đỏ
好き (すき) | Muốn | Ghét | Thích | Sợ
嫌い (きらい) | Thích | Yêu | Ghét | Cần
上手 (じょうず) | Nhanh | Kém | Giỏi | Chậm
下手 (へた) | Thông minh | Giỏi | Kém | Chăm chỉ
飲み物 (のみもの) | Sách vở | Đồ ăn | Đồ uống | Quần áo
料理 (りょうり) | Phim ảnh | Âm nhạc | Món ăn/Nấu ăn | Thể thao
スポーツ (すぽーつ) | Nghỉ ngơi | Lao động | Thể thao | Học tập
野球 (やきゅう) | Bóng rổ | Bóng đá | Bóng chày | Quần vợt
音楽 (おんがく) | Thể thao | Hội họa | Âm nhạc | Du lịch
歌 (うた) | Vở kịch | Bài thơ | Bài hát | Câu chuyện
絵 (え) | Bức thư | Bản đồ | Bức tranh | Tờ báo
字 (じ) | Con số | Biển báo | Chữ viết | Hình ảnh
時間 (じかん) | Cách thức | Lý do | Thời gian | Địa điểm
用事 (ようじ) | Cuộc hẹn | Lời hứa | Việc riêng | Việc công
約束 (やくそく) | Bài tập | Công việc | Cuộc hẹn/Lời hứa | Kỳ nghỉ
子供 (こども) | Người già | Người lớn | Trẻ con | Thanh niên
少し (すこし) | Toàn bộ | Không chút nào | Một chút | Rất nhiều
全然 (ぜんぜん) | Thường xuyên | Thỉnh thoảng | Hoàn toàn không | Luôn luôn
早く (はやく) | Chậm | Muộn | Sớm/Nhanh | Thong thả
あります (あります) | Đến | Đi | Có (đồ vật) | Có (người)
います (います) | Có (đồ vật) | Ăn | Có (người/động vật) | Ngủ
色々 (いろいろ) | Duy nhất | Ít | Nhiều/Đa dạng | Giống nhau
男の人 (おとこのひと) | Con trai | Người phụ nữ | Người đàn ông | Con gái
女の人 (おんなのひと) | Người đàn ông | Ông lão | Người phụ nữ | Em bé
男の子 (おとこのこ) | Phụ nữ | Cô bé | Cậu bé | Đàn ông
女の子 (おんなのこ) | Chị gái | Anh trai | Cô bé | Cậu bé
犬 (いぬ) | Con cá | Con chim | Con chó | Con mèo
猫 (ねこ) | Con thỏ | Con hổ | Con mèo | Con chó
木 (き) | Cỏ | Lá | Cây | Hoa
電池 (でんち) | Máy tính | Bóng đèn | Pin | Điện thoại
箱 (はこ) | Cái bát | Cái chai | Cái hộp | Cái túi
冷蔵庫 (れいぞうこ) | Lò vi sóng | Máy giặt | Tủ lạnh | Điều hòa
棚 (たな) | Cái tủ | Cái bàn | Cái giá/kệ | Cái ghế
窓 (まど) | Trần nhà | Tường | Cửa sổ | Cửa chính
公園 (こうえん) | Nhà ga | Bệnh viện | Công viên | Trường học
喫茶店 (きっさてん) | Khách sạn | Hiệu thuốc | Quán cà phê | Nhà hàng
屋 (や) | Nhà máy | Nhà ở | Cửa hàng | Công ty
