1. 考慮 (こうりょ) | Phớt lờ | Bỏ qua | Làm ngơ | Xem xét
懸念 (けねん) | Hy vọng | Tin tưởng | Bình thản | Lo ngại
充実 (じゅうじつ) | Thiếu thốn | Vô nghĩa | Bỏ dở | Sung túc
迅速 (じんそく) | Chậm chạp | Trì hoãn | Lề mề | Nhanh chóng
頻繁 (ひんぱん) | Hiếm khi | Thi thoảng | Vô định | Thường xuyên
膨大 (ぼうだい) | Tí hon | Nhỏ bé | Còi cọc | Khổng lồ
端的 (たんてき) | Vòng vo | Mơ hồ | Dài dòng | Rõ ràng/Trực diện
緻密 (ちみつ) | Sơ sài | Cẩu thả | Lỏng lẻo | Tỉ mỉ/Chặt chẽ
明白 (めいはく) | Mơ hồ | Nhầm lẫn | Sai lệch | Rõ ràng
過剰 (かじょう) | Thiếu hụt | Vừa đủ | Vô lý | Vượt quá
該当 (がいとう) | Không khớp | Sai lệch | Đối lập | Tương ứng
依然 (いぜん) | Thay đổi | Mới mẻ | Khác lạ | Vẫn như cũ
巧妙 (こうみょう) | Vụng về | Thô kệch | Kém cỏi | Khéo léo
必須 (ひっす) | Tùy chọn | Không cần | Vô ích | Bắt buộc
潜在 (せんざい) | Lộ rõ | Công khai | Bên ngoài | Tiềm ẩn
強硬 (きょうこう) | Dễ dãi | Nhượng bộ | Do dự | Cương quyết
軽快 (けいかい) | Nặng nề | Mệt mỏi | Lo lắng | Nhẹ nhàng/Thư thái
密接 (みっせつ) | Xa cách | Tách biệt | Lỏng lẻo | Mật thiết
曖昧 (あいまい) | Rõ ràng | Minh bạch | Chính xác | Mơ hồ
寛容 (かんよう) | Khắt khe | Hẹp hòi | Nghiêm khắc | Khoan dung
深刻 (しんこく) | Tầm thường | Nhẹ nhàng | Vui vẻ | Nghiêm trọng
簡潔 (かんけつ) | Dài dòng | Vòng vo | Rườm rà | Ngắn gọn/Súc tích
懸命 (けんめい) | Lười biếng | Bỏ cuộc | Thờ ơ | Nỗ lực hết sức
妥当 (だとう) | Vô lý | Sai lệch | Mơ hồ | Thỏa đáng
厳重 (げんじゅう) | Lỏng lẻo | Sơ hở | Dễ dàng | Nghiêm ngặt
巧妙 (こうみょう) | Vụng về | Thô kệch | Kém cỏi | Khéo léo
壮大 (そうだい) | Nhỏ bé | Còi cọc | Đơn điệu | Hùng vĩ
緊密 (きんみつ) | Rời rạc | Xa cách | Lỏng lẻo | Chặt chẽ
必須 (ひっす) | Không cần | Tùy ý | Vô ích | Cần thiết
端的 (たんてき) | Vòng vo | Mơ hồ | Dài dòng | Trực diện
明白 (めいはく) | Mơ hồ | Nhầm lẫn | Sai lệch | Minh bạch
卓越 (たくえつ) | Tầm thường | Kém cỏi | Vụng về | Ưu việt/Xuất sắc
迅速 (じんそく) | Chậm chạp | Trì hoãn | Lề mề | Nhanh chóng
膨大 (ぼうだい) | Nhỏ bé | Tí hon | Còi cọc | Khổng lồ
頻繁 (ひんぱん) | Hiếm khi | Thi thoảng | Vô định | Thường xuyên
懸念 (けねん) | Hy vọng | Tin tưởng | Bình thản | Lo ngại
考慮 (こうりょ) | Phớt lờ | Bỏ qua | Làm ngơ | Xem xét
充当 (じゅうとう) | Bỏ trống | Phung phí | Cắt giảm | Chuyên dùng/Phân bổ
享受 (きょうじゅ) | Từ bỏ | Chịu đựng | Hy sinh | Hưởng thụ
疎外 (そがい) | Gắn kết | Thân thiết | Hòa hợp | Xa lánh/Cô lập
屈折 (くっせつ) | Thẳng băng | Trơn tru | Bằng phẳng | Gãy khúc
孤立 (こりつ) | Đoàn kết | Hợp tác | Kết nối | Cô lập
巧妙 (こうみょう) | Vụng về | Thô kệch | Kém cỏi | Khéo léo
潜在 (せんざい) | Lộ rõ | Công khai | Bên ngoài | Tiềm tàng
執拗 (しつよう) | Dễ bỏ cuộc | Thỏa hiệp | Mau chán | Bướng bỉnh/Dai dẳng
慎重 (しんちょう) | Bất cẩn | Vội vã | Cẩu thả | Thận trọng
過剰 (かじょう) | Thiếu hụt | Vừa đủ | Vô lý | Thừa thãi
緊迫 (きんぱく) | Thư giãn | Bình yên | Thoải mái | Căng thẳng
懸命 (けんめい) | Lười biếng | Bỏ dở | Lãng phí | Cố gắng
明白 (めいはく) | Mơ hồ | Nhầm lẫn | Sai lệch | Rõ ràng
獲得 (かくとく) | Mất đi | Từ bỏ | Phá hủy | Thu được/Giành được
推進 (すいしん) | Cản trở | Dừng lại | Bỏ dở | Thúc đẩy
提携 (ていけい) | Đối đầu | Tách biệt | Phá hủy | Hợp tác/Liên kết
妥協 (だきょう) | Đối đầu | Cố chấp | Phớt lờ | Thỏa hiệp
紛糾 (ふんきゅう) | Trật tự | Hòa bình | Ổn định | Rối ren/Tranh cãi
究明 (きゅうめい) | Giấu kín | Phớt lờ | Bỏ qua | Làm sáng tỏ
克服 (こくふく) | Đầu hàng | Phớt lờ | Bỏ qua | Khắc phục
専念 (せんねん) | Bỏ bê | Phớt lờ | Bỏ qua | Chuyên tâm
把握 (はあく) | Hiểu lầm | Phớt lờ | Bỏ qua | Nắm bắt
記録 (きろく) | Xóa bỏ | Phớt lờ | Quên | Ghi chép
記憶 (きおく) | Sự quên lãng | Phớt lờ | Nhầm lẫn | Ký ức
観念 (かんねん) | Thực tế | Phớt lờ | Sai lệch | Quan niệm
哲学 (てつがく) | Thực tế | Phớt lờ | Mơ hồ | Triết học
論理 (ろんり) | Vô nghĩa | Phớt lờ | Sai lệch | Logic
根拠 (こんきょ) | Vô căn cứ | Phớt lờ | Nhầm lẫn | Căn cứ
妥当 (だとう) | Vô lý | Phớt lờ | Mơ hồ | Thỏa đáng
正当 (せいとう) | Sai trái | Phớt lờ | Nhầm lẫn | Chính đáng
