1. **Abundance** | Sự khan hiếm | Sự thiếu hụt | Sự cạn kiệt | Sự phong phú
2. **Acquire** | Đánh mất | Làm mất | Bỏ rơi | Thu được/Đạt được
3. **Adversity** | Sự thuận lợi | Sự may mắn | Sự thành công | Nghịch cảnh
4. **Advocate** | Phản đối | Tẩy chay | Chỉ trích | Người ủng hộ
5. **Affluent** | Nghèo khó | Túng thiếu | Bần cùng | Giàu có
6. **Alleviate** | Làm trầm trọng | Gia tăng | Mở rộng | Làm dịu bớt
7. **Ambiguous** | Rõ ràng | Minh bạch | Cụ thể | Mơ hồ
8. **Ambition** | Sự lười biếng | Sự thụ động | Sự nản lòng | Tham vọng
9. **Analyze** | Phớt lờ | Bỏ qua | Quên lãng | Phân tích
10. **Annihilate** | Xây dựng | Phát triển | Bảo tồn | Tiêu diệt hoàn toàn
11. **Apprehensive** | Tự tin | Bình thản | Quyết đoán | Lo lắng/Sợ hãi
12. **Arbitrary** | Có lý do | Rõ ràng | Cụ thể | Tùy tiện/Ngẫu nhiên
13. **Assertive** | Nhút nhát | Rụt rè | Yếu đuối | Quả quyết
14. **Astonishing** | Tầm thường | Bình thường | Nhàm chán | Đáng kinh ngạc
15. **Authentic** | Giả mạo | Lừa dối | Bắt chước | Chân thực
16. **Autonomous** | Phụ thuộc | Nhút nhát | Lười biếng | Tự chủ
17. **Benevolent** | Độc ác | Tàn nhẫn | Ích kỷ | Nhân từ
18. **Bias** | Công bằng | Khách quan | Tương đồng | Định kiến
19. **Blatant** | Kín đáo | Mơ hồ | Nhẹ nhàng | Trắng trợn
20. **Brilliant** | Kém cỏi | Vụng về | Yếu kém | Thông minh/Xuất sắc
21. **Captivate** | Làm phiền | Gây khó chịu | Xua đuổi | Làm say đắm
22. **Catastrophe** | Hạnh phúc | Vui vẻ | Thành công | Thảm họa
23. **Censure** | Ca ngợi | Tán dương | Ủng hộ | Phê bình nghiêm khắc
24. **Chaotic** | Trật tự | Ngăn nắp | Gọn gàng | Hỗn loạn
25. **Collaborate** | Cạnh tranh | Tranh cãi | Đối đầu | Hợp tác
26. **Commendable** | Đáng chê trách | Tồi tệ | Xấu xa | Đáng khen ngợi
27. **Compassion** | Độc ác | Tàn nhẫn | Ích kỷ | Lòng trắc ẩn
28. **Compel** | Từ chối | Vắng mặt | Cho phép | Bắt buộc
29. **Competent** | Kém cỏi | Vụng về | Yếu kém | Có năng lực
30. **Complacent** | Lo âu | Tham vọng | Ghen tị | Tự mãn
31. **Comprehensive** | Hạn hẹp | Sơ sài | Thiếu sót | Toàn diện
32. **Concede** | Từ chối | Phủ nhận | Phản đối | Nhượng bộ
33. **Concur** | Phản đối | Tẩy chay | Phủ nhận | Đồng ý
34. **Condone** | Phê bình | Chỉ trích | Phủ nhận | Tha thứ/Bỏ qua
35. **Conducive** | Cản trở | Ngăn cản | Gây khó khăn | Có lợi/Thúc đẩy
36. **Confidential** | Công khai | Rõ ràng | Minh bạch | Bí mật
37. **Conflict** | Hòa bình | Hợp tác | Đoàn kết | Xung đột
38. **Confound** | Làm rõ | Giải thích | Hướng dẫn | Làm bối rối
39. **Conscientious** | Lơ là | Chểnh mảng | Vô tâm | Tận tâm
40. **Consolidate** | Phá vỡ | Chia nhỏ | Tách rời | Củng cố
41. **Conspicuous** | Kín đáo | Mờ nhạt | Che giấu | Rõ ràng/Dễ thấy
42. **Contemporary** | Cổ xưa | Lạc hậu | Cũ kỹ | Đương đại
43. **Contradict** | Đồng ý | Ủng hộ | Chấp nhận | Mâu thuẫn
44. **Controversial** | Đồng ý | Hợp tác | Ủng hộ | Gây tranh cãi
