1. 積極的 (せっきょくてき) | Tiêu cực | Thụ động | Lười biếng | Tích cực
消極的 (しょうきょくてき) | Tích cực | Năng động | Tự tin | Tiêu cực
一般的 (いっぱんてき) | Hiếm | Đặc biệt | Riêng biệt | Phổ biến
不思議 (ふしぎ) | Bình thường | Rõ ràng | Tự nhiên | Kỳ lạ/Kỳ diệu
独特 (どくとく) | Phổ biến | Giống nhau | Thông thường | Độc đáo/Đặc thù
混乱 (こんらん) | Trật tự | Ổn định | Hòa bình | Hỗn loạn
達成 (たっせい) | Thất bại | Bỏ dở | Lãng phí | Đạt được
深刻 (しんこく) | Nhẹ nhàng | Bình thường | Tầm thường | Nghiêm trọng
深刻 (しんこく) | Tầm thường | Nhẹ nhàng | Bình thường | Nghiêm trọng
供給 (きょうきゅう) | Nhu cầu | Tiêu thụ | Hủy bỏ | Cung cấp
観察 (かんさつ) | Phớt lờ | Bỏ qua | Bỏ dở | Quan sát
評価 (ひょうか) | Chỉ trích | Bỏ qua | Phớt lờ | Đánh giá
適切 (てきせつ) | Không phù hợp | Sai lầm | Lạc hậu | Thích hợp
豊富 (ほうふ) | Nghèo nàn | Ít ỏi | Thiếu thốn | Phong phú
深刻 (しんこく) | Nhẹ nhàng | Không quan trọng | Đơn giản | Nghiêm trọng
影響 (えいきょう) | Ngăn cản | Không liên quan | Dừng lại | Ảnh hưởng
意識 (いしき) | Vô ý | Lơ là | Thờ ơ | Ý thức
関連 (かんれん) | Tách biệt | Độc lập | Không dính dáng | Liên quan
明確 (めいかく) | Mơ hồ | Nhầm lẫn | Sai lệch | Rõ ràng
複雑 (ふくざつ) | Đơn giản | Sáng sủa | Rộng rãi | Phức tạp
満足 (まんぞく) | Bất mãn | Tức giận | Buồn bã | Thỏa mãn
批判 (ひはん) | Ca ngợi | Tán thành | Ủng hộ | Phê phán
議論 (ぎろん) | Đồng thuận | Im lặng | Bỏ qua | Thảo luận/Tranh luận
解決 (かいけつ) | Gây rối | Bỏ qua | Dừng lại | Giải quyết
発達 (はったつ) | Suy thoái | Dậm chân | Kết thúc | Phát triển
増加 (ぞうか) | Giảm đi | Dừng lại | Biến mất | Tăng lên
減少 (げんしょう) | Tăng lên | Phát triển | Mở rộng | Giảm đi
競争 (きょうそう) | Hợp tác | Dừng lại | Thất bại | Cạnh tranh
協力 (きょうりょく) | Cạnh tranh | Đối đầu | Chia rẽ | Hợp tác
存在 (そんざい) | Sự biến mất | Sự hư cấu | Sự không có | Sự tồn tại
理由 (りゆう) | Kết quả | Hậu quả | Mục đích | Lý do
方法 (ほうほう) | Kết quả | Lý do | Cản trở | Phương pháp
目的 (もくてき) | Hậu quả | Nguyên nhân | Tình cờ | Mục đích
状況 (じょうきょう) | Mục tiêu | Kết quả | Lý do | Tình trạng
計画 (けいかく) | Thực tế | Tình cờ | Hậu quả | Kế hoạch
確認 (かくにん) | Bỏ qua | Phớt lờ | Nghi ngờ | Xác nhận
整理 (せいり) | Làm rối | Vứt bỏ | Phá hủy | Sắp xếp
変更 (へんこう) | Giữ nguyên | Cố định | Dừng lại | Thay đổi
中止 (ちゅうし) | Tiếp tục | Bắt đầu | Phát triển | Hủy bỏ
延期 (えんき) | Làm sớm | Hủy bỏ | Bắt đầu | Hoãn lại
提出 (ていしゅつ) | Giữ lại | Cất đi | Vứt bỏ | Nộp
受付 (うけつけ) | Từ chối | Bỏ qua | Phớt lờ | Tiếp nhận
検査 (けんさ) | Bỏ qua | Phớt lờ | Tin tưởng | Kiểm tra
発見 (はっけん) | Che giấu | Phớt lờ | Làm mất | Phát hiện
完成 (かんせい) | Bỏ dở | Phá hủy | Dừng lại | Hoàn thành
参加 (さんか) | Vắng mặt | Từ bỏ | Dừng lại | Tham gia
応援 (おうえん) | Ngăn cản | Phản đối | Từ bỏ | Cổ vũ
記録 (きろく) | Xóa bỏ | Bỏ qua | Quên | Ghi chép
記憶 (きおく) | Sự quên lãng | Sự nhầm lẫn | Sự bỏ dở | Ký ức
正解 (せいかい) | Sai lầm | Lỗi sai | Mơ hồ | Đáp án đúng
独特 (どくとく) | Bình thường | Phổ biến | Tầm thường | Độc đáo
典型的 (てんけいてき) | Đặc biệt | Hiếm có | Khác lạ | Điển hình
抽象的 (ちゅうしょうてき) | Cụ thể | Rõ ràng | Dễ hiểu | Trừu tượng
具体的 (ぐたいてき) | Trừu tượng | Mơ hồ | Khó hiểu | Cụ thể
伝統的 (でんとうてき) | Hiện đại | Mới lạ | Lạ lẫm | Có tính truyền thống
感情的 (かんじょうてき) | Lý trí | Bình tĩnh | Lạnh lùng | Cảm tính
理想的 (りそうてき) | Tồi tệ | Bình thường | Sai lệch | Lý tưởng
必然的 (ひつぜんてき) | Ngẫu nhiên | Tình cờ | Hiếm khi | Tất nhiên
組織 (そしき) | Cá nhân | Sự hỗn loạn | Sự tự phát | Tổ chức
構造 (こうぞう) | Sự phá hủy | Sự vô nghĩa | Sự đơn lẻ | Cấu trúc
影響 (えいきょう) | Không liên quan | Ngăn cản | Dừng lại | Ảnh hưởng
展開 (てんかい) | Bế tắc | Dừng lại | Hủy bỏ | Triển khai
刺激 (しげき) | Làm dịu | Phớt lờ | Bỏ qua | Kích thích
実現 (じつげん) | Thất bại | Bỏ dở | Lãng phí | Thực hiện hóa
充実 (じゅうじつ) | Thiếu thốn | Vô nghĩa | Bỏ dở | Sung túc/Trọn vẹn
想像 (そうぞう) | Thực tế | Sự thật | Phớt lờ | Tưởng tượng
予測 (よそく) | Thực tế | Quá khứ | Mơ hồ | Dự đoán
傾向 (けいこう) | Sự cố định | Sự dừng lại | Bỏ dở | Khuynh hướng
原因 (げんいん) | Kết quả | Mục tiêu | Giải pháp | Nguyên nhân
結果 (けっか) | Nguyên nhân | Khởi đầu | Quá trình | Kết quả
対策 (たいさく) | Nguyên nhân | Kết quả | Mơ hồ | Đối sách
検討 (けんとう) | Bỏ qua | Phớt lờ | Bỏ dở | Xem xét/Nghiên cứu
議論 (ぎろん) | Đồng thuận | Im lặng | Phớt lờ | Thảo luận
合意 (ごうい) | Tranh cãi | Phản đối | Im lặng | Đồng thuận
関連 (かんれん) | Tách biệt | Độc lập | Không dính dáng | Liên quan
接続 (せつぞく) | Ngắt kết nối | Tách rời | Phá hủy | Kết nối
調整 (ちょうせい) | Làm rối | Bỏ qua | Phá hủy | Điều chỉnh
管理 (かんり) | Lơ là | Vứt bỏ | Phá hủy | Quản lý
維持 (いじ) | Hủy bỏ | Phá hủy | Thay đổi | Duy trì
継続 (けいぞく) | Bỏ cuộc | Dừng lại | Hủy bỏ | Tiếp tục
停止 (ていし) | Bắt đầu | Tiếp tục | Phát triển | Đình chỉ/Dừng
