1. Environment | Khí hậu | Thời tiết | Địa lý | Môi trường
2. Household | Nhà trường | Công viên | Bệnh viện | Công việc gia đình
3. Neighborhood | Trường học | Chợ | Siêu thị | Khu phố
4. Volunteer | Bác sĩ | Giáo viên | Kỹ sư | Tình nguyện viên
5. Community | Gia đình | Cá nhân | Xã hội | Cộng đồng
6. Celebrate | Ăn mừng | Làm việc | Học tập | Tổ chức lễ hội
7. Decoration | Quần áo | Đồ ăn | Trò chơi | Sự trang trí
8. Tradition | Lịch sử | Địa lý | Văn hóa | Truyền thống
9. Destination | Điểm bắt đầu | Thời gian | Phương tiện | Điểm đến
10. Experience | Kiến thức | Kỹ năng | Cảm xúc | Kinh nghiệm
11. Adventure | Học tập | Làm việc | Nghỉ ngơi | Cuộc phiêu lưu
12. Equipment | Vở | Bút | Sách | Thiết bị
13. Personality | Ngoại hình | Sở thích | Cảm xúc | Tính cách
14. Confidence | Nghi ngờ | Lo âu | Sợ hãi | Sự tự tin
15. Diligent | Lười biếng | Nhút nhát | Sáng tạo | Chăm chỉ
16. Creative | Cũ kỹ | Lười biếng | Nhút nhát | Sáng tạo
17. Generous | Keo kiệt | Lười biếng | Nhút nhát | Hào phóng
18. Responsibility | Quyền lợi | Nghĩa vụ | Sở thích | Trách nhiệm
19. Cooperation | Sự cạnh tranh | Sự tranh cãi | Sự đối lập | Sự hợp tác
20. Independence | Phụ thuộc | Nhút nhát | Lười biếng | Sự độc lập
21. Potential | Thành tựu | Thử thách | Cơ hội | Tiềm năng
22. Technology | Môn học | Máy móc | Thiết bị | Công nghệ
23. Experiment | Bài tập | Dự án | Lý thuyết | Thí nghiệm
24. Discovery | Phát minh | Nghiên cứu | Sáng tạo | Khám phá
25. Invention | Khám phá | Nghiên cứu | Thí nghiệm | Phát minh
26. Research | Bài tập | Dự án | Thí nghiệm | Nghiên cứu
27. Pollution | Thời tiết | Khí hậu | Thiên nhiên | Sự ô nhiễm
28. Recycle | Vứt bỏ | Sử dụng | Mua sắm | Tái chế
29. Sustainable | Lâu dài | Tạm thời | Không thể | Bền vững
30. Conservation | Môi trường | Khí hậu | Nghiên cứu | Sự bảo tồn
31. Species | Môi trường | Con người | Đồ vật | Loài
32. Evolution | Khám phá | Nghiên cứu | Phát triển | Sự tiến hóa
33. Organism | Tế bào | Thực vật | Động vật | Sinh vật
34. Habitat | Khí hậu | Môi trường | Địa điểm | Môi trường sống
35. Astronomy | Sinh học | Vật lý | Hóa học | Thiên văn học
36. Galaxy | Vũ trụ | Hành tinh | Ngôi sao | Thiên hà
37. Planet | Thiên hà | Vũ trụ | Ngôi sao | Hành tinh
38. Gravity | Vận tốc | Khoảng cách | Thời gian | Trọng lực
39. Distance | Trọng lực | Vận tốc | Thời gian | Khoảng cách
40. Velocity | Trọng lực | Khoảng cách | Thời gian | Vận tốc
41. Architecture | Xây dựng | Thiết kế | Mỹ thuật | Kiến trúc
42. Structure | Thiết kế | Xây dựng | Mỹ thuật | Cấu trúc
43. Innovation | Phát minh | Khám phá | Nghiên cứu | Sự đổi mới
44. Progress | Thất bại | Thử thách | Khó khăn | Sự tiến bộ
45. Ability | Tài năng | Kỹ năng | Kiến thức | Khả năng
46. Strategy | Kế hoạch | Dự án | Ý tưởng | Chiến lược
47. Conclusion | Bắt đầu | Dự án | Suy luận | Kết luận
48. Evidence | Suy luận | Dự án | Kế hoạch | Bằng chứng
49. Analysis | So sánh | Kết luận | Bằng chứng | Sự phân tích
50. Discipline | Trách nhiệm | Động lực | Sự sáng tạo | Tính kỷ luật
51. Curiosity | Sự sáng tạo | Kỷ luật | Động lực | Sự tò mò
52. Empathy | Cảm xúc | Sự sáng tạo | Kỷ luật | Sự đồng cảm
53. Integrity | Sự đồng cảm | Kỷ luật | Sự sáng tạo | Sự chính trực
54. Perspective | Sự kiên cường | Sự chính trực | Sự đồng cảm | Quan điểm
55. Theoretical | Thực tế | Ứng dụng | Nghiên cứu | Lý thuyết
56. Practical | Lý thuyết | Ứng dụng | Nghiên cứu | Thực tiễn
57. Significant | Cần thiết | Không quan trọng | Có thể | Có ý nghĩa
58. Universal | Địa phương | Cá nhân | Cộng đồng | Phổ quát
59. Harmony | Sự đối lập | Sự tranh cãi | Sự cạnh tranh | Sự hài hòa
60. Behavior | Cảm xúc | Suy nghĩ | Hành động | Cách cư xử
61. Benefit | Rủi ro | Thiệt hại | Khó khăn | Lợi ích
62. Capacity | Nhu cầu | Thiếu hụt | Khoảng trống | Sức chứa
63. Commitment | Sự từ chối | Sự thay đổi | Sự lười biếng | Sự cam kết
64. Competition | Hợp tác | Giúp đỡ | Đoàn kết | Sự cạnh tranh
65. Concentrate | Phân tâm | Lười biếng | Bỏ cuộc | Tập trung
66. Consequence | Nguyên nhân | Mục đích | Khởi đầu | Hậu quả
67. Contribute | Lấy đi | Cất giữ | Phá hủy | Đóng góp
68. Courage | Sợ hãi | Nhút nhát | Lo âu | Lòng dũng cảm
69. Decision | Sự do dự | Sự lãng quên | Sự từ chối | Sự quyết định
70. Demonstrate | Phớt lờ | Từ chối | Quên lãng | Chứng minh
71. Develop | Ngừng lại | Phá hủy | Lãng quên | Phát triển
72. Distinguish | Nhầm lẫn | Gộp chung | Bỏ qua | Phân biệt
73. Diversity | Sự giống nhau | Sự đơn điệu | Sự trùng lặp | Sự đa dạng
74. Document | Tranh ảnh | Đồ vật | Sự kiện | Tài liệu
75. Domestic | Quốc tế | Ngoài nước | Nước ngoài | Nội địa
76. Encourage | Ngăn cản | Phê phán | Từ bỏ | Khuyến khích
77. Enterprise | Sự nghỉ ngơi | Sự lười biếng | Sự giải trí | Doanh nghiệp
78. Enthusiastic | Thờ ơ | Lười biếng | Lo âu | Nhiệt tình
79. Essential | Phụ trợ | Không cần thiết | Có thể | Thiết yếu
80. Evaluate | Phớt lờ | Từ chối | Quên lãng | Đánh giá
81. Evidence | Suy luận | Dự án | Kế hoạch | Bằng chứng
82. Excellent | Kém cỏi | Tệ hại | Tồi tệ | Xuất sắc
83. Existence | Sự biến mất | Sự hủy diệt | Sự lãng quên | Sự tồn tại
