食べる (たべる) | Uống | Ngủ | Đi | Ăn
先生 (せんせい) | Học sinh | Bác sĩ | Kỹ sư | Giáo viên
会議 (かいぎ) | Công ty | Giám đốc | Sản xuất | Cuộc họp
出張 (しゅっちょう) | Nghỉ phép | Tăng ca | Đi làm | Đi công tác
残業 (ざんぎょう) | Nghỉ trưa | Xin việc | Sa thải | Làm thêm giờ
給料 (きゅうりょう) | Thuế | Bảo hiểm | Phí đi lại | Tiền lương
雇用 (こよう) | Từ chức | Thăng tiến | Đào tạo | Thuê mướn
昇進 (しょうしん) | Nghỉ việc | Chuyển công tác | Tuyển dụng | Thăng tiến
研修 (けんしゅう) | Họp báo | Phỏng vấn | Nghỉ lễ | Đào tạo/Thực tập
面接 (めんせつ) | Chào hỏi | Giới thiệu | Ký tên | Phỏng vấn
履歴書 (りれきしょ) | Hợp đồng | Hóa đơn | Báo cáo | Sơ yếu lý lịch
契約 (けいやく) | Tạm ứng | Thanh toán | Chấm dứt | Hợp đồng
部署 (ぶしょ) | Chức vụ | Công ty con | Trụ sở chính | Phòng ban
役職 (やくしょく) | Tên gọi | Địa chỉ | Tiền thưởng | Chức vụ
社長 (しゃちょう) | Trưởng phòng | Nhân viên | Khách hàng | Giám đốc
部長 (ぶちょう) | Tổ trưởng | Giám đốc | Thư ký | Trưởng phòng
課長 (かちょう) | Nhân sự | Kế toán | Bảo vệ | Trưởng nhóm/Khối
同僚 (どうりょう) | Cấp trên | Cấp dưới | Khách đối tác | Đồng nghiệp
部下 (ぶか) | Bạn bè | Người thân | Đối thủ | Cấp dưới
上司 (じょうし) | Hậu bối | Tiền bối | Người quen | Cấp trên
取引先 (とりひきさき) | Nhà kho | Công trường | Bưu điện | Khách hàng/Đối tác
顧客 (こきゃく) | Nhân viên | Người làm thuê | Chủ nợ | Khách hàng
工場 (こうじょう) | Văn phòng | Cửa hàng | Trường học | Nhà máy
生産 (せいさん) | Tiêu dùng | Nhập khẩu | Bán lẻ | Sản xuất
製造 (せいぞう) | Thiết kế | Lắp ráp | Vận chuyển | Chế tạo
製品 (せいひん) | Nguyên liệu | Linh kiện | Rác thải | Thành phẩm
在庫 (ざいこ) | Hàng mới | Hàng giả | Hàng mẫu | Hàng tồn kho
納期 (のうき) | Ngày sản xuất | Ngày nghỉ | Ngày họp | Thời hạn giao hàng
品質 (ひんしつ) | Số lượng | Kích thước | Trọng lượng | Chất lượng
検品 (けんぴん) | Đóng gói | Dán nhãn | Xuất kho | Kiểm tra hàng
出荷 (しゅっか) | Nhập hàng | Trả hàng | Hủy hàng | Xuất hàng
入庫 (にゅうこ) | Thanh lý | Kiểm kho | Bán hàng | Nhập kho
材料 (ざいりょう) | Sản phẩm | Công cụ | Máy móc | Nguyên liệu
部品 (ぶひん) | Máy tính | Tài liệu | Thiết bị | Linh kiện
設備 (せつび) | Nhà ở | Xe cộ | Trang phục | Thiết bị
効率 (こうりつ) | Lãng phí | Chậm trễ | Sai sót | Hiệu suất
改善 (かいぜん) | Giữ nguyên | Làm hỏng | Thay thế | Cải tiến
安全 (あんぜん) | Nguy hiểm | Độc hại | Cẩn thận | An toàn
点検 (てんけん) | Sửa chữa | Thay mới | Vận hành | Kiểm tra định kỳ
故障 (こしょう) | Hoạt động | Nâng cấp | Bảo trì | Hỏng hóc
修理 (しゅうり) | Mua mới | Vứt bỏ | Cho mượn | Sửa chữa
注文 (ちゅうもん) | Hủy bỏ | Giao hàng | Trả tiền | Đặt hàng
報告 (ほうこく) | Thảo luận | Liên lạc | Xin lỗi | Báo cáo
連絡 (れんらく) | Im lặng | Quên | Nhầm lẫn | Liên lạc
相談 (そうだん) | Ra lệnh | Phê bình | Khen ngợi | Thảo luận/Bàn bạc
資料 (しりょう) | Sách vở | Tranh ảnh | Phim ảnh | Tài liệu
