1. Sustainable | Tạm thời | Lãng phí | Ngắn hạn | Bền vững
2. Urbanization | Nông thôn hóa | Công nghiệp | Hiện đại | Đô thị hóa
3. Globalize | Địa phương | Cô lập | Tách rời | Toàn cầu hóa
4. Literacy | Mù chữ | Khó khăn | Nghèo đói | Biết đọc biết viết
5. Inequality | Công bằng | Cân bằng | Tương đồng | Sự bất bình đẳng
6. Perspective | Sự áp đặt | Sự nhầm lẫn | Sự bỏ qua | Quan điểm
7. Elaborate | Đơn giản | Tóm tắt | Rút gọn | Chi tiết hóa
8. Hypothesis | Sự thật | Kết luận | Bằng chứng | Giả thuyết
9. Mitigate | Tăng cường | Làm trầm trọng | Mở rộng | Làm giảm nhẹ
10. Authentic | Giả mạo | Lừa dối | Bắt chước | Chân thực
11. Vulnerable | Mạnh mẽ | Kiên cường | An toàn | Dễ bị tổn thương
12. Initiative | Sự trì hoãn | Sự thụ động | Sự bắt chước | Sáng kiến
13. Resilient | Yếu đuối | Dễ vỡ | Nhút nhát | Kiên cường
14. Diverse | Đồng nhất | Giống nhau | Đơn điệu | Đa dạng
15. Advocate | Phản đối | Tẩy chay | Phủ nhận | Ủng hộ
16. Implement | Hủy bỏ | Từ chối | Phá vỡ | Thực thi
17. Significant | Tầm thường | Không quan trọng | Nhỏ bé | Có ý nghĩa/quan trọng
18. Elaborate | Sơ sài | Vắn tắt | Rút gọn | Công phu/kỹ lưỡng
19. Aesthetic | Xấu xí | Thô kệch | Tệ hại | Có tính thẩm mỹ
20. Ambiguous | Rõ ràng | Minh bạch | Dễ hiểu | Mơ hồ
21. Collaborate | Cạnh tranh | Tranh cãi | Đối đầu | Hợp tác
22. Competent | Kém cỏi | Vụng về | Yếu kém | Có năng lực
23. Consequence | Nguyên nhân | Khởi đầu | Nguồn gốc | Hậu quả
24. Consolidate | Phá vỡ | Chia nhỏ | Tách rời | Củng cố
25. Contradict | Đồng ý | Ủng hộ | Chấp nhận | Mâu thuẫn
26. Conventional | Mới lạ | Kỳ quặc | Độc đáo | Truyền thống
27. Credibility | Sự nghi ngờ | Sự lừa dối | Sự giả tạo | Sự đáng tin cậy
28. Cultivate | Phá hủy | Bỏ mặc | Ngăn cản | Trau dồi/Nuôi dưỡng
29. Deficiency | Đầy đủ | Dư thừa | Dồi dào | Sự thiếu hụt
30. Demolish | Xây dựng | Phát triển | Tôn tạo | Phá hủy
31. Deteriorate | Cải thiện | Phục hồi | Phát triển | Trở nên tồi tệ hơn
32. Diligent | Lười biếng | Thờ ơ | Chậm chạp | Siêng năng
33. Discrepancy | Sự đồng nhất | Sự hòa hợp | Sự cân bằng | Sự chênh lệch
34. Distinguish | Nhầm lẫn | Gộp chung | Bỏ qua | Phân biệt
35. Domestic | Quốc tế | Ngoài nước | Nước ngoài | Trong nước
36. Emerge | Biến mất | Chìm xuống | Kết thúc | Nổi lên/Xuất hiện
37. Emphasize | Phớt lờ | Bỏ qua | Quên lãng | Nhấn mạnh
38. Empower | Tước đoạt | Ngăn cản | Hạn chế | Trao quyền
39. Enormous | Nhỏ bé | Tầm thường | Ít ỏi | To lớn
40. Evaluate | Bỏ qua | Phớt lờ | Quên lãng | Đánh giá
41. Exacerbate | Cải thiện | Giảm nhẹ | Khắc phục | Làm trầm trọng thêm
42. Exemplify | Che giấu | Phá hủy | Làm mờ nhạt | Minh họa
43. Exploit | Bảo vệ | Tôn trọng | Bỏ mặc | Khai thác/Bóc lột
44. Facilitate | Ngăn cản | Gây khó khăn | Cản trở | Tạo điều kiện
45. Feasible | Bất khả thi | Vô lý | Khó khăn | Khả thi
46. Fluctuate | Ổn định | Đứng yên | Ngừng lại | Dao động
47. Frustrate | Làm hài lòng | Khuyến khích | Hỗ trợ | Gây nản lòng
48. Generate | Phá hủy | Ngừng lại | Kết thúc | Sản sinh/Tạo ra
49. Genuine | Giả mạo | Dối trá | Lừa đảo | Chân thật
50. Habitual | Ngẫu nhiên | Bất chợt | Hiếm khi | Theo thói quen
51. Hinder | Hỗ trợ | Giúp đỡ | Thúc đẩy | Cản trở
52. Impartial | Thiên vị | Không công bằng | Định kiến | Khách quan
53. Implicit | Rõ ràng | Minh bạch | Cụ thể | Ngầm định
54. Impulsive | Điềm tĩnh | Thận trọng | Suy nghĩ kỹ | Bốc đồng
55. Inaccessible | Dễ dàng | Thuận lợi | Tiếp cận được | Không thể tiếp cận
56. Indifferent | Quan tâm | Nhiệt tình | Say mê | Thờ ơ
57. Inevitable | Có thể tránh | Ngẫu nhiên | Tùy chọn | Không thể tránh khỏi
58. Infer | Phủ nhận | Phớt lờ | Bỏ qua | Suy luận
59. Innovative | Lạc hậu | Cũ kỹ | Lỗi thời | Đổi mới
60. Integrity | Sự gian dối | Sự giả tạo | Sự lừa lọc | Sự chính trực
61. Intervene | Làm ngơ | Phớt lờ | Để mặc | Can thiệp
62. Intricate | Đơn giản | Cơ bản | Dễ hiểu | Phức tạp/Rắc rối
63. Intuition | Sự suy luận | Sự tính toán | Sự logic | Trực giác
