1. 準備 (じゅんび) | Kết thúc | Bắt đầu | Kiểm tra | Chuẩn bị
練習 (れんしゅう) | Thi đấu | Nghỉ ngơi | Học tập | Luyện tập
発表 (はっぴょう) | Im lặng | Viết | Đọc | Phát biểu/Công bố
経験 (けいけん) | Kiến thức | Trình độ | Bằng cấp | Kinh nghiệm
成功 (せいこう) | Thất bại | Nỗ lực | Thay đổi | Thành công
失敗 (しっぱい) | Thành công | Mục tiêu | Kết quả | Thất bại
計画 (けいかく) | Thực tế | Lựa chọn | Ý kiến | Kế hoạch
相談 (そうだん) | Phản đối | Tự quyết | Im lặng | Thảo luận/Trao đổi
約束 (やくそく) | Hủy bỏ | Trả lại | Mượn | Lời hứa/Cuộc hẹn
用事 (ようじ) | Rảnh rỗi | Nghỉ ngơi | Du lịch | Việc bận/Việc riêng
事故 (じこ) | Sự cố | May mắn | Thành công | Tai nạn
経験 (けいけん) | Kỷ niệm | Kỹ năng | Trình độ | Kinh nghiệm
会議 (かいぎ) | Buổi tiệc | Lớp học | Công viên | Cuộc họp
招待 (しょうたい) | Từ chối | Tặng quà | Quên | Mời/Chiêu đãi
紹介 (しょうかい) | Phản đối | Tạm biệt | Tìm kiếm | Giới thiệu
冗談 (じょうだん) | Nói thật | Viết bài | Hát | Nói đùa
習慣 (しゅうかん) | Sở thích | Khả năng | Tài năng | Thói quen
法律 (ほうりつ) | Quy tắc | Tự do | Lịch sử | Pháp luật
丁寧 (ていねい) | Vô lễ | Sơ sài | Nhanh | Lịch sự/Cẩn thận
特別 (とくべつ) | Bình thường | Cũ kỹ | Xấu xa | Đặc biệt
複雑 (ふくざつ) | Đơn giản | Sáng sủa | Rộng rãi | Phức tạp
自由 (じゆう) | Ràng buộc | Cấm đoán | Khó khăn | Tự do
危険 (きけん) | An toàn | Vui vẻ | Hạnh phúc | Nguy hiểm
安全 (あんぜん) | Nguy hiểm | Mệt mỏi | Lo lắng | An toàn
丈夫 (じょうぶ) | Yếu | Hỏng | Mềm | Bền/Chắc
正直 (しょうじき) | Dối trá | Thông minh | Chăm chỉ | Trung thực
厳しい (きびしい) | Dễ dãi | Vui vẻ | Buồn bã | Nghiêm khắc
幸せ (しあわせ) | Đau khổ | Mệt mỏi | Chán nản | Hạnh phúc
羨ましい (うらやましい) | Hài lòng | Bình yên | Lo lắng | Ghen tị
騒がしい (さわがしい) | Yên tĩnh | Trong lành | Sạch sẽ | Ồn ào
珍しい (めずらしい) | Phổ biến | Đắt tiền | Cũ kỹ | Hiếm
賑やか (にぎやか) | Yên tĩnh | Buồn tẻ | Sạch sẽ | Náo nhiệt
鋭い (するどい) | Cùn/Tù | Nhẹ nhàng | Dài | Sắc bén
鈍い (にぶい) | Nhanh nhẹn | Thông minh | Sắc sảo | Chậm chạp/Đần
激しい (はげしい) | Nhẹ nhàng | Chậm rãi | Yếu ớt | Dữ dội
懐かしい (なつかしい) | Quên lãng | Ghét bỏ | Xa lạ | Nhớ nhung
恐ろしい (おそろしい) | Dũng cảm | Vui vẻ | Đáng yêu | Đáng sợ
豊かな (ゆたかな) | Nghèo khó | Thiếu thốn | Nhỏ bé | Giàu có/Phong phú
確か (たしか) | Không rõ | Sai lệch | Mơ hồ | Chắc chắn/Hình như
得意 (とくい) | Kém | Sợ hãi | Lười biếng | Giỏi/Đắc ý
苦手 (にがて) | Giỏi | Hăng hái | Tự tin | Kém/Không thích
真面目 (まじめ) | Lười biếng | Vô trách nhiệm | Nông nổi | Chăm chỉ/Nghiêm túc
素晴らしい (すばらしい) | Tồi tệ | Bình thường | Xấu xí | Tuyệt vời
厳しい (きびしい) | Dễ tính | Rộng rãi | Nhanh nhẹn | Nghiêm khắc
酷い (ひどい) | Tuyệt vời | Lịch sự | Tốt bụng | Tồi tệ
積極的 (せっきょくてき) | Tiêu cực | Lười biếng | Nhút nhát | Tích cực
消極的 (しょうきょくてき) | Tích cực | Năng động | Tự tin | Tiêu cực
一般的 (いっぱんてき) | Hiếm | Đặc biệt | Bí mật | Phổ biến/Thông thường
不思議 (ふしぎ) | Bình thường | Rõ ràng | Thú vị | Kỳ lạ/Kỳ diệu
無理 (むり) | Hợp lý | Dễ dàng | Đơn giản | Quá sức/Vô lý
連絡 (れんらく) | Ngắt kết nối | Bỏ qua | Phớt lờ | Liên lạc
集合 (しゅうごう) | Giải tán | Tản mát | Tách rời | Tập hợp
解散 (かいさん) | Tập hợp | Kết hợp | Gắn kết | Giải tán
成功 (せいこう) | Thất bại | Lãng phí | Dừng lại | Thành công
失敗 (しっぱい) | Thành công | Thắng lợi | Tiến bộ | Thất bại
解決 (かいけつ) | Bỏ mặc | Làm rối | Dừng lại | Giải quyết
原因 (げんいん) | Kết quả | Mục tiêu | Giải pháp | Nguyên nhân
結果 (けっか) | Nguyên nhân | Khởi đầu | Quá trình | Kết quả
目的 (もくてき) | Kết quả | Hậu quả | Vô nghĩa | Mục đích
目標 (もくひょう) | Khởi đầu | Kết thúc | Sự việc | Mục tiêu
意見 (いけん) | Im lặng | Phản bác | Bỏ cuộc | Ý kiến
感想 (かんそう) | Sự thật | Phê bình | Kết quả | Cảm tưởng
質問 (しつもん) | Câu trả lời | Ý kiến | Kết luận | Câu hỏi
回答 (かいとう) | Câu hỏi | Giải thích | Im lặng | Câu trả lời
説明 (せつめい) | Gây nhiễu | Giấu giếm | Phớt lờ | Giải thích
発表 (はっぴょう) | Giấu kín | Im lặng | Từ bỏ | Phát biểu
返事 (へんじ) | Bỏ qua | Im lặng | Từ chối | Sự trả lời/Hồi âm
約束 (やくそく) | Hủy bỏ | Trả lại | Mượn | Lời hứa
予定 (よてい) | Quá khứ | Ngẫu nhiên | Bất ngờ | Dự định/Kế hoạch
都合 (つごう) | Thời gian | Địa điểm | Mục đích | Sự thuận tiện/Tình trạng
経験 (けいけん) | Kỷ niệm | Kỹ năng | Trình độ | Kinh nghiệm
知識 (ちしき) | Sự ngu dốt | Tài năng | Cảm xúc | Kiến thức
実力 (じつりょく) | May mắn | Vô danh | Thất bại | Thực lực
才能 (さいのう) | Sự kém cỏi | Sự lười biếng | Tính cách | Tài năng
努力 (どりょく) | Sự lười biếng | Từ bỏ | Thất bại | Nỗ lực
苦労 (くろう) | Thảnh thơi | Hạnh phúc | Thành công | Gian khổ/Vất vả
成功 (せいこう) | Thất bại | Rủi ro | Lãng phí | Thành công
満足 (まんぞく) | Bất mãn | Tức giận | Buồn bã | Thỏa mãn
不満 (ふまん) | Thỏa mãn | Hạnh phúc | Vui vẻ | Bất mãn
心配 (しんぱい) | Yên tâm | Thư giãn | Bình tĩnh | Lo lắng
安心 (あんしん) | Lo lắng | Hoảng sợ | Hồi hộp | Yên tâm
緊張 (きんちょう) | Thư giãn | Bình tĩnh | Thoải mái | Căng thẳng
疲労 (ひろう) | Khỏe mạnh | Hăng hái | Tươi tỉnh | Mệt mỏi
興奮 (こうふん) | Bình tĩnh | Chán nản | Buồn ngủ | Hưng phấn
失望 (しつぼう) | Hy vọng | Hài lòng | Tin tưởng | Thất vọng
希望 (きぼう) | Thất vọng | Chán nản | Bỏ cuộc | Hy vọng
勇気 (ゆうき) | Nhút nhát | Sợ hãi | Hèn hạ | Dũng cảm
驚き (おどろき) | Sự bình thường | Sự chuẩn bị | Sự thất vọng | Sự ngạc nhiên
悲しみ (かなしみ) | Niềm vui | Hy vọng | Hạnh phúc | Nỗi buồn
喜び (よろこび) | Nỗi buồn | Sự đau khổ | Thất vọng | Niềm vui
怒り (いかり) | Sự bình tĩnh | Sự yêu thương | Sự ngạc nhiên | Sự tức giận
感謝 (かんしゃ) | Phàn nàn | Oán trách | Phớt lờ | Cảm ơn
感動 (かんどう) | Vô cảm | Chán ghét | Thờ ơ | Cảm động
興味 (きょうみ) | Chán ghét | Vô cảm | Lãng quên | Hứng thú
習慣 (しゅうかん) | Sự lạ lẫm | Sự bỏ dở | Sự thay đổi | Thói quen
伝統 (でんとう) | Sự đổi mới | Sự lạ lẫm | Sự biến mất | Truyền thống
変化 (へんか) | Giữ nguyên | Dừng lại | Hỏng hóc | Thay đổi
発展 (はってん) | Suy thoái | Dậm chân | Kết thúc | Phát triển
増加 (ぞうか) | Giảm đi | Dừng lại | Biến mất | Tăng lên
減少 (げんしょう) | Tăng lên | Phát triển | Mở rộng | Giảm đi
競争 (きょうそう) | Hợp tác | Dừng lại | Thất bại | Cạnh tranh
協力 (きょうりょく) | Cạnh tranh | Đối đầu | Chia rẽ | Hợp tác
影響 (えいきょう) | Không liên quan | Ngăn cản | Dừng lại | Ảnh hưởng
存在 (そんざい) | Sự biến mất | Sự không có | Sự hư cấu | Sự tồn tại
理由 (りゆう) | Kết quả | Hậu quả | Mục đích | Lý do
方法 (ほうほう) | Kết quả | Lý do | Cản trở | Phương pháp
目的 (もくてき) | Hậu quả | Nguyên nhân | Tình cờ | Mục đích
状況 (じょうきょう) | Mục tiêu | Kết quả | Lý do | Tình trạng
計画 (けいかく) | Thực tế | Tình cờ | Hậu quả | Kế hoạch
準備 (じゅんび) | Bỏ dở | Kết thúc | Phớt lờ | Chuẩn bị
確認 (かくにん) | Bỏ qua | Phớt lờ | Nghi ngờ | Xác nhận
整理 (せいり) | Làm rối | Vứt bỏ | Phá hủy | Chỉnh sửa/Sắp xếp
変更 (へんこう) | Giữ nguyên | Cố định | Dừng lại | Thay đổi
中止 (ちゅうし) | Tiếp tục | Bắt đầu | Phát triển | Hủy bỏ
延期 (えんき) | Làm sớm | Hủy bỏ | Bắt đầu | Hoãn lại
提出 (ていしゅつ) | Giữ lại | Cất đi | Vứt bỏ | Nộp (báo cáo)
受付 (うけつけ) | Từ chối | Bỏ qua | Phớt lờ | Tiếp tân/Tiếp nhận
検査 (けんさ) | Bỏ qua | Phớt lờ | Tin tưởng | Kiểm tra
発見 (はっけん) | Che giấu | Phớt lờ | Làm mất | Phát hiện
製作 (せいさく) | Phá hủy | Vứt đi | Bỏ cuộc | Chế tạo
完成 (かんせい) | Bỏ dở | Phá hủy | Dừng lại | Hoàn thành
優勝 (ゆうしょう) | Thất bại | Bỏ cuộc | Dừng lại | Vô địch
参加 (さんか) | Vắng mặt | Từ bỏ | Dừng lại | Tham gia
応援 (おうえん) | Ngăn cản | Phản đối | Từ bỏ | Cổ vũ
成功 (せいこう) | Thất bại | Rủi ro | Lãng phí | Thành công
失敗 (しっぱい) | Thành công | Thắng lợi | Tiến bộ | Thất bại
解決 (かいけつ) | Gây rắc rối | Bỏ qua | Dừng lại | Giải quyết
責任 (せきにん) | Vô trách nhiệm | Bỏ trốn | Lười biếng | Trách nhiệm
信用 (しんよう) | Nghi ngờ | Phản bội | Bỏ qua | Tin tưởng
誤解 (ごかい) | Hiểu đúng | Tin tưởng | Biết rõ | Hiểu lầm
正解 (せいかい) | Sai lầm | Lỗi sai | Mơ hồ | Đáp án đúng
間違い (まちがい) | Đúng đắn | Chính xác | Rõ ràng | Lỗi sai
