1. Nationality | Ngôn ngữ | Địa điểm | Tên tuổi | Quốc tịch
2. Hometown | Đất nước | Thành phố | Ngôi làng | Quê hương
3. Address | Tên | Tuổi | Nghề nghiệp | Địa chỉ
4. Festival | Môn học | Hoạt động | Đồ ăn | Lễ hội
5. Celebrate | Tổ chức | Tham gia | Chuẩn bị | Ăn mừng
6. Decoration | Quà tặng | Trang phục | Món ăn | Sự trang trí
7. Parade | Bữa tiệc | Trò chơi | Âm nhạc | Cuộc diễu hành
8. Firework | Tiếng hát | Điệu múa | Trò chơi | Pháo hoa
9. Experience | Kiến thức | Kỹ năng | Cảm xúc | Kinh nghiệm
10. Vacation | Bài tập | Hoạt động | Môn học | Kỳ nghỉ
11. Destination | Điểm xuất phát | Phương tiện | Thời gian | Điểm đến
12. Souvenir | Quần áo | Đồ ăn | Trò chơi | Quà lưu niệm
13. Heritage | Di sản | Lễ hội | Kiến trúc | Di sản (văn hóa/lịch sử)
14. Monument | Bảo tàng | Công viên | Nhà hát | Đài tưởng niệm
15. Scenery | Thời tiết | Môi trường | Con người | Phong cảnh
16. Biology | Vật lý | Toán | Ngữ văn | Sinh học
17. Chemistry | Địa lý | Tin học | Lịch sử | Hóa học
18. Physics | Âm nhạc | Mỹ thuật | Thể dục | Vật lý
19. Geography | Toán | Văn | Sinh học | Địa lý
20. Information | Kiến thức | Dữ liệu | Câu hỏi | Thông tin
21. Technology | Môn học | Máy móc | Thiết bị | Công nghệ
22. Experiment | Bài tập | Dự án | Lý thuyết | Thí nghiệm
23. Discovery | Phát minh | Nghiên cứu | Sáng tạo | Khám phá
24. Invention | Khám phá | Nghiên cứu | Thí nghiệm | Phát minh
25. Research | Bài tập | Dự án | Thí nghiệm | Nghiên cứu
26. Environment | Thời tiết | Địa lý | Sinh vật | Môi trường
27. Pollution | Thời tiết | Khí hậu | Thiên nhiên | Sự ô nhiễm
28. Recycle | Vứt bỏ | Sử dụng | Mua sắm | Tái chế
29. Energy | Năng lượng | Không gian | Thời gian | Năng lượng
30. Climate | Thời tiết | Môi trường | Địa lý | Khí hậu
31. Species | Môi trường | Con người | Đồ vật | Loài
32. Evolution | Khám phá | Nghiên cứu | Phát triển | Sự tiến hóa
33. Organism | Tế bào | Thực vật | Động vật | Sinh vật
34. Habitat | Khí hậu | Môi trường | Địa điểm | Môi trường sống
35. Conservation | Môi trường | Khí hậu | Nghiên cứu | Sự bảo tồn
36. Vocabulary | Ngữ pháp | Bài tập | Câu văn | Từ vựng
37. Grammar | Từ vựng | Bài tập | Câu văn | Ngữ pháp
38. Communication | Giao tiếp | Hoạt động | Môn học | Sự giao tiếp
39. Presentation | Thảo luận | Bài tập | Kiểm tra | Bài thuyết trình
40. Discussion | Thuyết trình | Kiểm tra | Bài tập | Sự thảo luận
41. Assignment | Bài kiểm tra | Bài thi | Câu hỏi | Bài tập được giao
42. Achievement | Thất bại | Nỗ lực | Ý định | Thành tựu
43. Challenge | Thành công | Ý định | Thất bại | Thử thách
44. Opportunity | Thử thách | Ý định | Thành tựu | Cơ hội
45. Motivation | Thử thách | Cơ hội | Ý tưởng | Động lực
46. Personality | Cảm xúc | Ngoại hình | Sở thích | Tính cách
47. Confident | Nhút nhát | Lười biếng | Chăm chỉ | Tự tin
48. Diligent | Lười biếng | Sáng tạo | Dũng cảm | Chăm chỉ
49. Creative | Lười biếng | Nhút nhát | Cũ kỹ | Sáng tạo
50. Generous | Keo kiệt | Lười biếng | Nhút nhát | Hào phóng
51. Honest | Dối trá | Lười biếng | Nhút nhát | Trung thực
52. Responsibility | Quyền lợi | Nghĩa vụ | Sở thích | Trách nhiệm
53. Cooperation | Sự cạnh tranh | Sự tranh cãi | Sự đối lập | Sự hợp tác
54. Independence | Phụ thuộc | Nhút nhát | Lười biếng | Sự độc lập
55. Potential | Thành tựu | Thử thách | Cơ hội | Tiềm năng
56. Economy | Tiền tệ | Thị trường | Thương mại | Kinh tế
57. Industry | Công nghệ | Dịch vụ | Sản xuất | Công nghiệp
58. Production | Công nghiệp | Dịch vụ | Công nghệ | Sự sản xuất
59. Government | Chính trị | Công nghệ | Công nghiệp | Chính phủ
60. Justice | Pháp luật | Chính phủ | Công nghiệp | Công lý
61. Individual | Gia đình | Cộng đồng | Xã hội | Cá nhân
62. Community | Gia đình | Cá nhân | Xã hội | Cộng đồng
63. Society | Gia đình | Cá nhân | Cộng đồng | Xã hội
64. Tradition | Văn hóa | Lịch sử | Địa lý | Truyền thống
65. Culture | Lịch sử | Địa lý | Văn hóa | Văn hóa
66. Astronomy | Sinh học | Vật lý | Hóa học | Thiên văn học
67. Galaxy | Vũ trụ | Hành tinh | Ngôi sao | Thiên hà
68. Planet | Thiên hà | Vũ trụ | Ngôi sao | Hành tinh
69. Gravity | Vận tốc | Khoảng cách | Thời gian | Trọng lực
70. Distance | Trọng lực | Vận tốc | Thời gian | Khoảng cách
71. Velocity | Trọng lực | Khoảng cách | Thời gian | Vận tốc
72. Architecture | Xây dựng | Thiết kế | Mỹ thuật | Kiến trúc
73. Structure | Thiết kế | Xây dựng | Mỹ thuật | Cấu trúc
74. Decoration | Mỹ thuật | Kiến trúc | Xây dựng | Sự trang trí
75. Innovation | Phát minh | Khám phá | Nghiên cứu | Sự đổi mới
76. Progress | Thất bại | Thử thách | Khó khăn | Sự tiến bộ
77. Ability | Tài năng | Kỹ năng | Kiến thức | Khả năng
78. Logic | Tư duy | Suy luận | Sáng tạo | Lô-gic
79. Strategy | Kế hoạch | Dự án | Ý tưởng | Chiến lược
80. Conclusion | Bắt đầu | Dự án | Suy luận | Kết luận
81. Evidence | Suy luận | Dự án | Kế hoạch | Bằng chứng
82. Purpose | Ý tưởng | Chiến lược | Kết luận | Mục đích
83. Comparison | Kết luận | Bằng chứng | Mục đích | Sự so sánh
84. Analysis | So sánh | Kết luận | Bằng chứng | Sự phân tích
85. Creativity | Sự so sánh | Sự phân tích | Mục đích | Sự sáng tạo
86. Discipline | Kỷ luật | Trách nhiệm | Động lực | Tính kỷ luật
87. Curiosity | Sự sáng tạo | Kỷ luật | Động lực | Sự tò mò
88. Empathy | Cảm xúc | Sự sáng tạo | Kỷ luật | Sự đồng cảm
89. Integrity | Sự đồng cảm | Kỷ luật | Sự sáng tạo | Sự chính trực
90. Resilience | Sự chính trực | Sự đồng cảm | Sự sáng tạo | Sự kiên cường
91. Perspective | Sự kiên cường | Sự chính trực | Sự đồng cảm | Quan điểm
92. Ambition | Thành tựu | Thử thách | Cơ hội | Tham vọng
93. Professional | Cá nhân | Cộng đồng | Xã hội | Chuyên nghiệp
94. Theoretical | Thực tế | Ứng dụng | Nghiên cứu | Lý thuyết
95. Practical | Lý thuyết | Ứng dụng | Nghiên cứu | Thực tiễn
96. Essential | Quan trọng | Không cần thiết | Có thể | Cần thiết/thiết yếu
97. Significant | Cần thiết | Không quan trọng | Có thể | Có ý nghĩa/quan trọng
